,sentence,difficulty
0,"À Washington, le Musée National de l’Histoire Améri- caine inaugure aujourd’hui une exposition en l’honneur du professeur Jonas Salk.",A2
1,C’est à ce chercheur de l’université de Pittsburgh que l’on doit le premier vaccin contre la polio- myélite.,A2
2,"Il y a tout juste 50 ans, le 12 avril 1955, il a annoncé l’invention d’un vaccin « effi- cace et sans danger ».",A2
3,"Des
moyens exceptionnels avaient permis au chercheur de lancer une véritable guerre contre cette terrible maladie : des dizaines de milliers d’enfants avaient participé à son enquête et des centaines de milliers de citoyens américains y avaient financièrement participé.",A2
4,"Pour comprendre cette mobilisation, il faut rappeler que l’on enre- gistrait, aux États-Unis, plus de
16 000 cas de polio par an.",A2
5,"Car avant l’invention du vaccin, rien ne pouvait arrêter la progression du virus : riches ou pauvres, malades ou bien portants, des milliers d’enfants perdaient la vie ou se retrou- vaient paralysés à jamais.",A2
6,"Aux États-Unis, la maladie a offi- ciellement disparu en 1979

Les deux auteurs du guide « classement 2005 des boulangeries de Paris » ont élu les meilleures boulangeries de la capitale.",A2
7,"D’abord, Ils ont jugé la qualité du service, la présentation et la décoration des boutiques.",A2
8,"Ensuite, ils ont goûté la baguette et le croissant au beurre.",A2
9,"Après avoir visité une sélection de 200 boulangeries, les auteurs ont fait un classement.",A2
10,Ce guide est disponible dans toutes les librairies au prix de 6 euros.,A2
11,Les Parisiens sauront maintenant où aller acheter leur pain !,A2
12,Pas un villageois n’y échappe.,A2
13,"« La ferme » de TF1, est aujourd’hui le principal sujet de discussion à Visan (Vaucluse), du salon de coiffure à la boulangerie.",A2
14,C’est dans ce village de 1638 habitants que sont implantés les locaux de la nouvelle émission de téléréalité.,A2
15,Une vingtaine de célébrités sont enfermées dans une ferme pour y travailler.,A2
16,"Au village, il y a les pour et les contre.",A2
17,Mais les enthousiastes sont les plus nombreux.,A2
18,"Au café, le patron allume la télé à l’heure de l’émission : « Les clients la regardent, chacun y va de son commentaire.",A2
19,"Souvent, des passants nous demandent où est située la ferme.",A2
20,» Des passants parfois envahissants : 400 voitures ont débarqué le lundi de Pâques.,A2
21,"« Je n’avais jamais vu autant de monde à Visan », confie Claude, agriculteur.",A2
22,"Certains bénéficient déjà de retombées économiques, comme Géraldine, la boulangère : « On fournit de 30 à 80 baguettes par jour à la production, c’est rentable.",A2
23,"» Théo, de la cave de Visan, livre à la ferme entre 50 et 60 bouteilles tous les dix jours : « Nous sommes dans une région viticole.",A2
24,"Si seulement 10 % des téléspectateurs retiennent que les célébrités boivent du vin de chez nous, on aura réussi.",A2
25,"»
D’autres sont plus critiques.",A2
26,"Raphaël, aide-soignant, espérait « que “ La ferme ” donnerait une meilleure image de Visan.",A2
27,Mais les journalistes nous snobent et nous étiquettent “ paysans ”.,A2
28,"Vivement que tout soit fini, que le village redevienne ce qu’il était.",A2
29,» Il ne reste donc plus qu’à attendre.,A2
30,"Attendre de retrouver la tranquillité pour certains, attendre les retombées financières pour d’autres.",A2
31,"AVENTURE GLOBALE vous invite à faire le tour du monde en bateau, à bord
   d’un magnifique voilier.",A2
32,"La mer des Caraïbes, les plages du Pacifique Sud
   et les mythiques îles de la Méditerranée vous attendent !",A2
33,"N’hésitez plus
   et prenez contact avec nous, vous allez vivre l’expérience la plus
   inoubliable de votre vie.",A2
34,"Enregistrez-vous immédiatement et participez à notre grand tirage au sort
   « la croisière de vos rêves ».",A2
35,"Vous recevrez sans obligation d’achat
   notre catalogue de voyages à des prix sans concurrence.",A2
36,"Si vous êtes intéressé, cliquez ici.",A2
37,"Salut,
Les vacances approchent et j’aimerais bien te voir !",A2
38,Je sais que tu ne connais pas Paris alors je te propose de venir passer quelques jours chez moi.,A2
39,"Visite des musées, tour Eiffel, théâtres, cinés, bons restaurants...
Réponds-moi vite et fais ta réservation pour venir.",A2
40,Si tu veux tu peux aussi m’appeler ; je suis chez moi vers 20 h 30.,A2
41,"Je t’embrasse
Utile dans la vie privée et pro-
fessionnelle, quel est l’ordina-
teur portable idéal ?",A2
42,"1 point
1 D’après l’article, aujourd’hui, l’ordinateur portable…
coûte de moins en moins cher.",A2
43,est remplacé par les téléphones mobiles.,A2
44,sert dans toutes les situations de la vie.,A2
45,"1,5 point
Quel avantage présente l’Ordi-média ?",A2
46,"..................................................................................................................
4
1,5 point
D’après l’article, combien de temps garde-t-on un ordinateur portable, en général ?",A2
47,"..................................................................................................................
5
1 point
2 D’après l’article, avant d’acheter un ordinateur portable, vous devez...
vous informer sur les tarifs.",A2
48,penser à vos besoins liés à l’ordinateur.,A2
49,"Guide d’achat
de l’ordinateur portable
Comparez !",A2
50,"Avant de faire cet achat, vous devez compa-
rer les ordinateurs en fonction du poids, de
la taille, etc.",A2
51,"Bref : réfléchir à l’utilisation que
vous allez en avoir et non pas en fonction du
prix, même mini !",A2
52,"Quelques modèles :
•L’Ordi-fami : si tout le monde l’utilise, il
vous faut un ordinateur portable familial.",A2
53,"•Le petit Ordi : si vous vous déplacez beau-
coup, choisissez ce petit modèle léger.",A2
54,"•L’Ordi-écolo fonctionne à l’énergie du so-
leil.",A2
55,"Il vous permet donc de travailler aussi
longtemps que vous voulez !",A2
56,"•L’Ordi-média a une grande capacité de
mémoire (1 To).",A2
57,"Vous pouvez garder sans
difficulté toute votre collection de musique,
de vidéos et de photos.",A2
58,"Attention : un ordinateur portable dure 5-7
ans en moyenne.",A2
59,"Depuis sa création, le 20 septembre 1946, pour fêter la
fin de la guerre, cette fête du cinéma conduit toujours
plus d’acteurs et de cinéastes sur le tapis rouge, heu-
reux de monter les vingt-quatre marches devant les
appareils photos des journalistes du monde entier.",A2
60,"L’actrice française Bérénice Béjo, qui a gagné un prix
pour son dernier film le 24 février dernier, va ouvrir la
fête le 16 juin.",A2
61,"Le président du festival va annoncer le
grand gagnant le soir du 27 juin.",A2
62,"Cette année, le soixante-cinquième Festival de
Cannes, qui va avoir lieu du 16 au 27 juin, est différent
avec de nombreux films sud-américains et asiatiques.",A2
63,"Le directeur du festival a annoncé jeudi dernier la liste
officielle des films choisis pour le concours : « 1 779
films – un chiffre plus important chaque année – ont
été proposés mais seulement cinquante-quatre films
originaires de vingt-six pays vont être présentés au
final.",A2
64,"» Un choix difficile mais important : le public
français écoute souvent les professionnels de Cannes
pour choisir le film qu’il va aller voir au cinéma.",A2
65,"Des ambassadeurs et un guide estival pour mieux accueillir les touristes
Depuis 2001, les ambassadeurs de l’accueil se mettent, chaque été, au service des visiteurs français et étrangers.",A2
66,"Cette année, du 18 juin au 31 août, ils seront là pour vous aider et vous conseiller !",A2
67,"Où retrouver les Ambassadeurs de l'accueil
Vous les trouverez sur les sites les plus fréquentés de la ville : Bastille, Champs Elysées, Notre-Dame, Hôtel de Ville, Aéroport Roissy Charles de Gaulle, Paris Plage, Place Colette et Pigalle.",A2
68,"Comment les reconnaître
Facilement reconnaissables grâce à leurs tee-shirts vert anis et les coupe-vent orange, les 55 saisonniers ""ambassadeurs"" parlent 15 langues à eux tous – et connaissent parfaitement la capitale.",A2
69,"Quand les rencontrer
Ils seront présents chaque jour de 10h à 19h pour distribuer guides et plans de la ville, suggérer des balades insolites ou traditionnelles.",A2
70,"Ils vous offriront la brochure ""J’aime l’été à Paris"", éditée à 1 000 000 d’exemplaires et pourront faire découvrir à tous les visiteurs la richesse de la programmation culturelle estivale.",A2
71,"Salut,
DOCUMENT RÉSERVÉ AU CANDIDAT
J’espère que tu vas bien.",A2
72,"Ici, on se prépare pour la fête nationale et à cette occasion, je te propose de venir passer quelques jours chez moi.",A2
73,J’attends ta réponse avec impatience.,A2
74,Et n’oublie pas de me donner le jour et l’heure de ton arrivée pour que j’aille te chercher à l’aéroport.,A2
