,sentence,difficulty
0,Je m’appelle Jessica.,A1
1,"Je suis une fille, je suis française et j’ai treize ans.",A1
2,"Je vais à l’école à Nice, mais j’habite à Cagnes-Sur-Mer.",A1
3,J’ai deux frères.,A1
4,"Le premier s’appelle Thomas, il a quatorze ans.",A1
5,Le second s’appelle Yann et il a neuf ans.,A1
6,Mon papa est italien et il est fleuriste.,A1
7,Ma mère est allemande et est avocate.,A1
8,"Mes frères et moi parlons français, italien et allemand à la maison.",A1
9,"Nous avons une grande maison avec un chien, un poisson et deux chats.",A1
10,"Aujourd’hui, on est samedi, nous rendons visite à notre grand-mère.",A1
11,Elle a 84 ans et elle habite à Antibes.,A1
12,"J’adore ma grand-mère, elle est très gentille.",A1
13,Elle fait des bons gâteaux.,A1
14,"Lundi, je retourne à l’école.",A1
15,"Je suis contente, je vais voir Amélie.",A1
16,C’est ma meilleure amie.,A1
17,J’aime beaucoup l’école.,A1
18,Mes matières préférées sont le français et le sport.,A1
19,J’aime beaucoup lire et je nage très bien.,A1
20,"Je m'appelle Angélica Summer, j'ai 12 ans et je suis canadienne.",A1
21,"Il y a 5 ans, ma famille et moi avons déménagé dans le sud de la France.",A1
22,"Mon père, Frank Summer, est mécanicien ; il adore les voitures anciennes et collectionne les voitures miniatures.",A1
23,Ma mère s'appelle Emilie Summer ; elle est infirmière dans un hôpital non loin de notre maison.,A1
24,"Nous avons déménagé en France, parce qu'elle a toujours aimé la culture de ce pays.",A1
25,La vie en France est très différente de celle au Canada.,A1
26,"Ici, il fait toujours chaud.",A1
27,"Chaque dimanche, nous allons à la magnifique plage de Biarritz et nous achetons des glaces après avoir nagé dans la mer.",A1
28,Les Français sont très sympathiques et accueillants.,A1
29,"Nous parlons français lorsque nous sommes dehors, à l'école ou au marché.",A1
30,"Cependant, nous continuons de parler anglais à la maison, car mes parents ne veulent pas que je perde ma langue natale.",A1
31,Pierre est un jeune garçon de 14 ans.,A1
32,"Il vit à Paris avec ses parents et sa petite sœur Julie, âgée de 8 ans.",A1
33,Toute la petite famille habite dans un grand appartement au 3ème étage d'un immeuble situé près de la Tour Eiffel.,A1
34,"Ainsi, Pierre a le privilège d'admirer chaque jour l'un des monuments les plus visités au monde !",A1
