id,sentence,difficulty
0,"Version optimiste, ce pourrait être une histoire de mondialisation heureuse.",C2
1,"Comment une plante connue en Chine depuis deux millénaires va peut-être soulager l’Afrique du XXIe siècle du paludisme... si les multinationales du médicament, l’Organisation mondiale de la santé (OMS) et les Etats africains le veulent bien.",C2
2,"Car l’histoire a aussi le parfum du scandale, celui des avancées scientifiques dont les malades pauvres ne voient guère la couleur.",C2
3,"Aujour- d’hui, les traitements à base d’artémisinine, tirés de la plante chinoise qing hao, ont envahi la littérature scientifique, la publicité des labo- ratoires et les congrès scientifiques, tel celui qui vient d’avoir lieu à Yaoundé, au Cameroun, du 14 au 19 novembre.",C2
4,Au point d’en faire une sorte de nouvelle panacée.,C2
5,"Pourtant, les populations dont la survie dépend de ces produits n’en bénéficient pratiquement pas jusqu’à présent, au moins en Afrique, où sont concentrés 90 % des cas.",C2
6,"Au commencement, il y a l’un des pires fléaux de santé tropicale.",C2
7,"De l’Indonésie à l’Afrique en passant par l’Amérique du Sud, l’ano- phèle, moustique responsable de la propagation du paludisme (ou malaria), tue de 1 à 3 millions de personnes par an, tandis que 300 millions d’autres sont infectées.",C2
8,La fièvre liée au paludisme est à ce point intégrée à l’existence du continent noir que les écoliers d’une classe de n’importe quel pays africain lèvent tous le bras lorsqu’on leur demande : « Qui a le “palu” ?,C2
9,"Au total, 40 % de la population du globe est concernée.",C2
10,Mais les pays développés se sont débarrassés de leurs moustiques tueurs depuis des décennies.,C2
11,"La recherche sur les maladies tropicales, encouragée par les demandes militaires et colo- niales, s’est affaiblie après les indépendances.",C2
12,"A l’inverse, le moustique, lui, s’est renforcé, en mutant pour résister aux traitements.",C2
13,"Dans les années 1950 et 1960, les espoirs mis dans l’utilisation à grande échelle du DDT étaient si grands que l’OMS a alors construit son plan d’éradication autour de cet insecticide puissant et ravageur pour l’environnement, tandis que les malades ayant accès à la méde- cine disposaient de traitements efficaces, à base de quinine puis de chloroquine.",C2
14,"Si bien que, dans les années 1960, l’affaire paraissait entendue : la chimie, alliée à la pharmacie, allait définitivement régler son compte à l’anophèle.",C2
15,"Mais, plus que l’hécatombe africaine, celle qui atteignait les combattants de la guerre du Vietnam allait réveiller la recherche.",C2
16,"Préoccupés par la protection déclinante assurée à leurs soldats par les traitements traditionnels, Américains et Nord-Vietnamiens sont partis en quête de remèdes.",C2
17,"Au Walter Reed Institute de Washington, qui dépend de l’armée américaine, deux nouvelles molécules, la méfloquine et l’halofantrine, sont alors mises au point.",C2
